Indicator,Group,State,Time Period Label,Percentage,Confidence Interval
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,"Jan 20 - Feb 1, 2021",35.1,30.6 - 39.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,"Jan 20 - Feb 1, 2021",33.8,29.5 - 38.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,"Jan 20 - Feb 1, 2021",41.4,36.2 - 46.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,"Jan 20 - Feb 1, 2021",37.7,33.8 - 41.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,"Jan 20 - Feb 1, 2021",42.2,38.3 - 46.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,"Jan 20 - Feb 1, 2021",43.3,38.8 - 47.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,"Jan 20 - Feb 1, 2021",35.8,32.0 - 39.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,"Jan 20 - Feb 1, 2021",44.7,39.8 - 49.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,"Jan 20 - Feb 1, 2021",28.8,22.1 - 36.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,"Jan 20 - Feb 1, 2021",43.2,38.8 - 47.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,"Jan 20 - Feb 1, 2021",47.5,42.7 - 52.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,"Jan 20 - Feb 1, 2021",42.0,37.8 - 46.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,"Jan 20 - Feb 1, 2021",39.8,36.6 - 43.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,"Jan 20 - Feb 1, 2021",41.5,36.3 - 46.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,"Jan 20 - Feb 1, 2021",37.6,31.3 - 44.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,"Jan 20 - Feb 1, 2021",29.1,24.5 - 34.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,"Jan 20 - Feb 1, 2021",43.5,38.9 - 48.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,"Jan 20 - Feb 1, 2021",43.4,39.9 - 47.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,"Jan 20 - Feb 1, 2021",40.9,37.7 - 44.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,"Jan 20 - Feb 1, 2021",36.2,31.5 - 41.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,"Jan 20 - Feb 1, 2021",36.9,33.9 - 40.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,"Jan 20 - Feb 1, 2021",46.3,42.5 - 50.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,"Jan 20 - Feb 1, 2021",41.8,34.8 - 49.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,"Jan 20 - Feb 1, 2021",36.4,31.9 - 41.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,"Jan 20 - Feb 1, 2021",40.2,33.3 - 47.4
Symptoms of Depressive Disorder,National Estimate,United States,"Feb 3 - Feb 15, 2021",28.1,27.5 - 28.7
Symptoms of Depressive Disorder,By State,Alabama,"Feb 3 - Feb 15, 2021",29.8,25.2 - 34.6
Symptoms of Depressive Disorder,By State,Alaska,"Feb 3 - Feb 15, 2021",31.5,26.4 - 36.8
Symptoms of Depressive Disorder,By State,Arizona,"Feb 3 - Feb 15, 2021",30.4,26.2 - 34.8
Symptoms of Depressive Disorder,By State,Arkansas,"Feb 3 - Feb 15, 2021",33.4,28.3 - 38.8
Symptoms of Depressive Disorder,By State,California,"Feb 3 - Feb 15, 2021",30.3,27.7 - 33.1
Symptoms of Depressive Disorder,By State,Colorado,"Feb 3 - Feb 15, 2021",23.6,20.8 - 26.6
Symptoms of Depressive Disorder,By State,Connecticut,"Feb 3 - Feb 15, 2021",27.1,23.2 - 31.2
Symptoms of Depressive Disorder,By State,Delaware,"Feb 3 - Feb 15, 2021",24.8,20.4 - 29.5
Symptoms of Depressive Disorder,By State,District of Columbia,"Feb 3 - Feb 15, 2021",24.5,18.0 - 32.0
Symptoms of Depressive Disorder,By State,Florida,"Feb 3 - Feb 15, 2021",28.1,24.3 - 32.1
Symptoms of Depressive Disorder,By State,Georgia,"Feb 3 - Feb 15, 2021",28.5,24.2 - 33.1
Symptoms of Depressive Disorder,By State,Hawaii,"Feb 3 - Feb 15, 2021",23.4,18.3 - 29.2
Symptoms of Depressive Disorder,By State,Idaho,"Feb 3 - Feb 15, 2021",26.6,22.3 - 31.3
Symptoms of Depressive Disorder,By State,Illinois,"Feb 3 - Feb 15, 2021",27.9,24.2 - 31.9
Symptoms of Depressive Disorder,By State,Indiana,"Feb 3 - Feb 15, 2021",25.7,21.6 - 30.2
Symptoms of Depressive Disorder,By State,Iowa,"Feb 3 - Feb 15, 2021",25.0,21.2 - 29.1
Symptoms of Depressive Disorder,By State,Kansas,"Feb 3 - Feb 15, 2021",24.8,21.1 - 28.8
Symptoms of Depressive Disorder,By State,Kentucky,"Feb 3 - Feb 15, 2021",28.7,23.3 - 34.6
Symptoms of Depressive Disorder,By State,Louisiana,"Feb 3 - Feb 15, 2021",31.3,25.6 - 37.4
Symptoms of Depressive Disorder,By State,Maine,"Feb 3 - Feb 15, 2021",23.0,17.8 - 28.8
Symptoms of Depressive Disorder,By State,Maryland,"Feb 3 - Feb 15, 2021",26.6,22.9 - 30.5
Symptoms of Depressive Disorder,By State,Massachusetts,"Feb 3 - Feb 15, 2021",26.5,23.2 - 30.0
Symptoms of Depressive Disorder,By State,Michigan,"Feb 3 - Feb 15, 2021",27.3,24.2 - 30.7
Symptoms of Depressive Disorder,By State,Minnesota,"Feb 3 - Feb 15, 2021",21.9,18.9 - 25.2
Symptoms of Depressive Disorder,By State,Mississippi,"Feb 3 - Feb 15, 2021",32.7,25.7 - 40.4
Symptoms of Depressive Disorder,By State,Missouri,"Feb 3 - Feb 15, 2021",29.3,25.7 - 33.1
Symptoms of Depressive Disorder,By State,Montana,"Feb 3 - Feb 15, 2021",23.4,18.3 - 29.1
Symptoms of Depressive Disorder,By State,Nebraska,"Feb 3 - Feb 15, 2021",26.0,21.6 - 30.9
Symptoms of Depressive Disorder,By State,Nevada,"Feb 3 - Feb 15, 2021",30.4,26.3 - 34.6
Symptoms of Depressive Disorder,By State,New Hampshire,"Feb 3 - Feb 15, 2021",19.6,15.7 - 24.0
Symptoms of Depressive Disorder,By State,New Jersey,"Feb 3 - Feb 15, 2021",24.3,21.1 - 27.6
Symptoms of Depressive Disorder,By State,New Mexico,"Feb 3 - Feb 15, 2021",32.4,28.2 - 36.8
Symptoms of Depressive Disorder,By State,New York,"Feb 3 - Feb 15, 2021",31.1,27.1 - 35.4
Symptoms of Depressive Disorder,By State,North Carolina,"Feb 3 - Feb 15, 2021",27.5,23.0 - 32.5
Symptoms of Depressive Disorder,By State,North Dakota,"Feb 3 - Feb 15, 2021",20.2,15.7 - 25.5
Symptoms of Depressive Disorder,By State,Ohio,"Feb 3 - Feb 15, 2021",25.7,22.1 - 29.6
Symptoms of Depressive Disorder,By State,Oklahoma,"Feb 3 - Feb 15, 2021",27.2,22.6 - 32.0
Symptoms of Depressive Disorder,By State,Oregon,"Feb 3 - Feb 15, 2021",31.0,27.7 - 34.3
Symptoms of Depressive Disorder,By State,Pennsylvania,"Feb 3 - Feb 15, 2021",26.5,22.6 - 30.8
Symptoms of Depressive Disorder,By State,Rhode Island,"Feb 3 - Feb 15, 2021",27.3,21.6 - 33.5
Symptoms of Depressive Disorder,By State,South Carolina,"Feb 3 - Feb 15, 2021",29.7,25.1 - 34.6
Symptoms of Depressive Disorder,By State,South Dakota,"Feb 3 - Feb 15, 2021",21.9,17.0 - 27.5
Symptoms of Depressive Disorder,By State,Tennessee,"Feb 3 - Feb 15, 2021",30.7,26.6 - 35.1
Symptoms of Depressive Disorder,By State,Texas,"Feb 3 - Feb 15, 2021",28.2,25.6 - 30.8
Symptoms of Depressive Disorder,By State,Utah,"Feb 3 - Feb 15, 2021",28.7,26.0 - 31.6
Symptoms of Depressive Disorder,By State,Vermont,"Feb 3 - Feb 15, 2021",27.2,21.4 - 33.6
Symptoms of Depressive Disorder,By State,Virginia,"Feb 3 - Feb 15, 2021",27.5,24.1 - 31.0
Symptoms of Depressive Disorder,By State,Washington,"Feb 3 - Feb 15, 2021",28.7,25.5 - 32.1
Symptoms of Depressive Disorder,By State,West Virginia,"Feb 3 - Feb 15, 2021",30.7,25.4 - 36.4
Symptoms of Depressive Disorder,By State,Wisconsin,"Feb 3 - Feb 15, 2021",25.8,22.4 - 29.5
Symptoms of Depressive Disorder,By State,Wyoming,"Feb 3 - Feb 15, 2021",20.0,15.3 - 25.5
Symptoms of Anxiety Disorder,National Estimate,United States,"Feb 3 - Feb 15, 2021",33.8,33.1 - 34.4
Symptoms of Anxiety Disorder,By State,Alabama,"Feb 3 - Feb 15, 2021",35.1,30.1 - 40.4
Symptoms of Anxiety Disorder,By State,Alaska,"Feb 3 - Feb 15, 2021",33.0,28.8 - 37.4
Symptoms of Anxiety Disorder,By State,Arizona,"Feb 3 - Feb 15, 2021",32.8,29.3 - 36.4
Symptoms of Anxiety Disorder,By State,Arkansas,"Feb 3 - Feb 15, 2021",38.1,32.8 - 43.6
Symptoms of Anxiety Disorder,By State,California,"Feb 3 - Feb 15, 2021",35.7,32.7 - 38.7
Symptoms of Anxiety Disorder,By State,Colorado,"Feb 3 - Feb 15, 2021",30.7,27.0 - 34.5
Symptoms of Anxiety Disorder,By State,Connecticut,"Feb 3 - Feb 15, 2021",34.3,30.6 - 38.1
Symptoms of Anxiety Disorder,By State,Delaware,"Feb 3 - Feb 15, 2021",33.0,28.6 - 37.7
Symptoms of Anxiety Disorder,By State,District of Columbia,"Feb 3 - Feb 15, 2021",34.7,28.0 - 41.8
Symptoms of Anxiety Disorder,By State,Florida,"Feb 3 - Feb 15, 2021",34.4,31.0 - 37.8
Symptoms of Anxiety Disorder,By State,Georgia,"Feb 3 - Feb 15, 2021",30.7,27.0 - 34.7
Symptoms of Anxiety Disorder,By State,Hawaii,"Feb 3 - Feb 15, 2021",26.9,22.3 - 31.9
Symptoms of Anxiety Disorder,By State,Idaho,"Feb 3 - Feb 15, 2021",30.5,26.2 - 35.2
Symptoms of Anxiety Disorder,By State,Illinois,"Feb 3 - Feb 15, 2021",30.7,26.7 - 34.9
Symptoms of Anxiety Disorder,By State,Indiana,"Feb 3 - Feb 15, 2021",32.7,28.8 - 36.8
Symptoms of Anxiety Disorder,By State,Iowa,"Feb 3 - Feb 15, 2021",30.0,26.2 - 34.2
Symptoms of Anxiety Disorder,By State,Kansas,"Feb 3 - Feb 15, 2021",29.3,25.6 - 33.3
Symptoms of Anxiety Disorder,By State,Kentucky,"Feb 3 - Feb 15, 2021",30.8,25.3 - 36.8
Symptoms of Anxiety Disorder,By State,Louisiana,"Feb 3 - Feb 15, 2021",36.9,31.0 - 43.1
Symptoms of Anxiety Disorder,By State,Maine,"Feb 3 - Feb 15, 2021",32.5,27.2 - 38.1
Symptoms of Anxiety Disorder,By State,Maryland,"Feb 3 - Feb 15, 2021",33.8,29.7 - 38.2
Symptoms of Anxiety Disorder,By State,Massachusetts,"Feb 3 - Feb 15, 2021",34.4,31.3 - 37.7
Symptoms of Anxiety Disorder,By State,Michigan,"Feb 3 - Feb 15, 2021",34.4,30.8 - 38.1
Symptoms of Anxiety Disorder,By State,Minnesota,"Feb 3 - Feb 15, 2021",26.9,23.7 - 30.2
Symptoms of Anxiety Disorder,By State,Mississippi,"Feb 3 - Feb 15, 2021",38.6,31.0 - 46.5
Symptoms of Anxiety Disorder,By State,Missouri,"Feb 3 - Feb 15, 2021",33.0,29.5 - 36.7
Symptoms of Anxiety Disorder,By State,Montana,"Feb 3 - Feb 15, 2021",25.0,21.0 - 29.3
Symptoms of Anxiety Disorder,By State,Nebraska,"Feb 3 - Feb 15, 2021",30.7,25.9 - 35.9
Symptoms of Anxiety Disorder,By State,Nevada,"Feb 3 - Feb 15, 2021",39.0,35.0 - 43.2
Symptoms of Anxiety Disorder,By State,New Hampshire,"Feb 3 - Feb 15, 2021",29.3,24.6 - 34.4
Symptoms of Anxiety Disorder,By State,New Jersey,"Feb 3 - Feb 15, 2021",34.3,30.9 - 37.9
Symptoms of Anxiety Disorder,By State,New Mexico,"Feb 3 - Feb 15, 2021",37.2,33.4 - 41.1
Symptoms of Anxiety Disorder,By State,New York,"Feb 3 - Feb 15, 2021",36.0,31.7 - 40.4
Symptoms of Anxiety Disorder,By State,North Carolina,"Feb 3 - Feb 15, 2021",33.8,29.6 - 38.2
Symptoms of Anxiety Disorder,By State,North Dakota,"Feb 3 - Feb 15, 2021",30.7,24.0 - 38.0
Symptoms of Anxiety Disorder,By State,Ohio,"Feb 3 - Feb 15, 2021",31.2,27.1 - 35.5
Symptoms of Anxiety Disorder,By State,Oklahoma,"Feb 3 - Feb 15, 2021",33.1,28.4 - 38.1
Symptoms of Anxiety Disorder,By State,Oregon,"Feb 3 - Feb 15, 2021",39.8,36.2 - 43.5
Symptoms of Anxiety Disorder,By State,Pennsylvania,"Feb 3 - Feb 15, 2021",29.7,26.3 - 33.3
Symptoms of Anxiety Disorder,By State,Rhode Island,"Feb 3 - Feb 15, 2021",31.3,26.0 - 37.1
Symptoms of Anxiety Disorder,By State,South Carolina,"Feb 3 - Feb 15, 2021",34.7,30.1 - 39.5
Symptoms of Anxiety Disorder,By State,South Dakota,"Feb 3 - Feb 15, 2021",29.6,24.4 - 35.1
Symptoms of Anxiety Disorder,By State,Tennessee,"Feb 3 - Feb 15, 2021",35.5,31.4 - 39.7
Symptoms of Anxiety Disorder,By State,Texas,"Feb 3 - Feb 15, 2021",34.8,32.0 - 37.6
Symptoms of Anxiety Disorder,By State,Utah,"Feb 3 - Feb 15, 2021",35.6,32.7 - 38.6
Symptoms of Anxiety Disorder,By State,Vermont,"Feb 3 - Feb 15, 2021",36.0,29.1 - 43.3
Symptoms of Anxiety Disorder,By State,Virginia,"Feb 3 - Feb 15, 2021",33.3,30.3 - 36.3
Symptoms of Anxiety Disorder,By State,Washington,"Feb 3 - Feb 15, 2021",36.4,32.9 - 40.0
Symptoms of Anxiety Disorder,By State,West Virginia,"Feb 3 - Feb 15, 2021",37.2,31.1 - 43.5
Symptoms of Anxiety Disorder,By State,Wisconsin,"Feb 3 - Feb 15, 2021",32.2,28.4 - 36.1
Symptoms of Anxiety Disorder,By State,Wyoming,"Feb 3 - Feb 15, 2021",25.1,19.4 - 31.6
Symptoms of Anxiety Disorder or Depressive Disorder,National Estimate,United States,"Feb 3 - Feb 15, 2021",39.3,38.7 - 40.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alabama,"Feb 3 - Feb 15, 2021",40.1,35.0 - 45.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Alaska,"Feb 3 - Feb 15, 2021",41.3,36.5 - 46.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arizona,"Feb 3 - Feb 15, 2021",41.7,37.2 - 46.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Arkansas,"Feb 3 - Feb 15, 2021",43.4,38.1 - 48.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,California,"Feb 3 - Feb 15, 2021",42.1,39.2 - 45.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Colorado,"Feb 3 - Feb 15, 2021",36.3,32.5 - 40.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Connecticut,"Feb 3 - Feb 15, 2021",40.2,36.1 - 44.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Delaware,"Feb 3 - Feb 15, 2021",37.5,33.5 - 41.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,District of Columbia,"Feb 3 - Feb 15, 2021",38.6,31.2 - 46.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Florida,"Feb 3 - Feb 15, 2021",38.9,35.6 - 42.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Georgia,"Feb 3 - Feb 15, 2021",38.7,34.0 - 43.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Hawaii,"Feb 3 - Feb 15, 2021",33.6,28.5 - 39.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Idaho,"Feb 3 - Feb 15, 2021",36.9,32.4 - 41.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Illinois,"Feb 3 - Feb 15, 2021",37.5,33.5 - 41.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Indiana,"Feb 3 - Feb 15, 2021",37.5,33.6 - 41.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Iowa,"Feb 3 - Feb 15, 2021",35.5,31.3 - 39.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kansas,"Feb 3 - Feb 15, 2021",34.5,30.5 - 38.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Kentucky,"Feb 3 - Feb 15, 2021",39.0,33.1 - 45.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Louisiana,"Feb 3 - Feb 15, 2021",42.7,36.4 - 49.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maine,"Feb 3 - Feb 15, 2021",38.2,32.8 - 43.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Maryland,"Feb 3 - Feb 15, 2021",37.3,33.4 - 41.4
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Massachusetts,"Feb 3 - Feb 15, 2021",39.7,36.7 - 42.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Michigan,"Feb 3 - Feb 15, 2021",39.1,35.8 - 42.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Minnesota,"Feb 3 - Feb 15, 2021",32.3,29.3 - 35.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Mississippi,"Feb 3 - Feb 15, 2021",43.3,35.8 - 50.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Missouri,"Feb 3 - Feb 15, 2021",39.9,36.1 - 43.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Montana,"Feb 3 - Feb 15, 2021",32.1,26.6 - 37.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nebraska,"Feb 3 - Feb 15, 2021",35.9,31.3 - 40.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Nevada,"Feb 3 - Feb 15, 2021",44.0,39.8 - 48.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Hampshire,"Feb 3 - Feb 15, 2021",32.6,27.9 - 37.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Jersey,"Feb 3 - Feb 15, 2021",38.8,35.5 - 42.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New Mexico,"Feb 3 - Feb 15, 2021",42.9,38.9 - 47.0
Symptoms of Anxiety Disorder or Depressive Disorder,By State,New York,"Feb 3 - Feb 15, 2021",41.8,37.2 - 46.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Carolina,"Feb 3 - Feb 15, 2021",38.9,34.9 - 43.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,North Dakota,"Feb 3 - Feb 15, 2021",35.5,28.6 - 42.8
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Ohio,"Feb 3 - Feb 15, 2021",36.4,32.2 - 40.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oklahoma,"Feb 3 - Feb 15, 2021",38.7,34.1 - 43.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Oregon,"Feb 3 - Feb 15, 2021",45.1,41.7 - 48.5
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Pennsylvania,"Feb 3 - Feb 15, 2021",35.4,31.7 - 39.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Rhode Island,"Feb 3 - Feb 15, 2021",38.1,32.5 - 43.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Carolina,"Feb 3 - Feb 15, 2021",38.8,34.2 - 43.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,South Dakota,"Feb 3 - Feb 15, 2021",30.9,25.6 - 36.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Tennessee,"Feb 3 - Feb 15, 2021",40.6,36.2 - 45.1
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Texas,"Feb 3 - Feb 15, 2021",39.9,37.2 - 42.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Utah,"Feb 3 - Feb 15, 2021",40.2,37.3 - 43.2
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Vermont,"Feb 3 - Feb 15, 2021",38.7,31.4 - 46.3
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Virginia,"Feb 3 - Feb 15, 2021",38.7,35.5 - 41.9
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Washington,"Feb 3 - Feb 15, 2021",40.9,37.4 - 44.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,West Virginia,"Feb 3 - Feb 15, 2021",41.8,35.3 - 48.7
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wisconsin,"Feb 3 - Feb 15, 2021",36.7,32.9 - 40.6
Symptoms of Anxiety Disorder or Depressive Disorder,By State,Wyoming,"Feb 3 - Feb 15, 2021",29.2,23.4 - 35.6
Symptoms of Depressive Disorder,National Estimate,United States,"Feb 17 - Mar 1, 2021",27.8,27.0 - 28.6
Symptoms of Depressive Disorder,By State,Alabama,"Feb 17 - Mar 1, 2021",27.6,23.0 - 32.5
Symptoms of Depressive Disorder,By State,Alaska,"Feb 17 - Mar 1, 2021",22.0,18.4 - 25.9
Symptoms of Depressive Disorder,By State,Arizona,"Feb 17 - Mar 1, 2021",28.7,24.9 - 32.6
Symptoms of Depressive Disorder,By State,Arkansas,"Feb 17 - Mar 1, 2021",28.2,22.9 - 34.0
Symptoms of Depressive Disorder,By State,California,"Feb 17 - Mar 1, 2021",29.5,26.8 - 32.3
Symptoms of Depressive Disorder,By State,Colorado,"Feb 17 - Mar 1, 2021",28.1,24.5 - 31.8
Symptoms of Depressive Disorder,By State,Connecticut,"Feb 17 - Mar 1, 2021",28.1,23.5 - 33.1
Symptoms of Depressive Disorder,By State,Delaware,"Feb 17 - Mar 1, 2021",21.6,17.5 - 26.3
Symptoms of Depressive Disorder,By State,District of Columbia,"Feb 17 - Mar 1, 2021",21.3,17.1 - 26.0
Symptoms of Depressive Disorder,By State,Florida,"Feb 17 - Mar 1, 2021",27.8,24.4 - 31.3
Symptoms of Depressive Disorder,By State,Georgia,"Feb 17 - Mar 1, 2021",28.3,23.8 - 33.2
Symptoms of Depressive Disorder,By State,Hawaii,"Feb 17 - Mar 1, 2021",22.3,17.7 - 27.5
Symptoms of Depressive Disorder,By State,Idaho,"Feb 17 - Mar 1, 2021",24.1,20.4 - 28.1
Symptoms of Depressive Disorder,By State,Illinois,"Feb 17 - Mar 1, 2021",27.4,24.2 - 30.8
Symptoms of Depressive Disorder,By State,Indiana,"Feb 17 - Mar 1, 2021",26.9,22.9 - 31.3
Symptoms of Depressive Disorder,By State,Iowa,"Feb 17 - Mar 1, 2021",25.3,21.8 - 29.0
Symptoms of Depressive Disorder,By State,Kansas,"Feb 17 - Mar 1, 2021",22.9,19.6 - 26.4
Symptoms of Depressive Disorder,By State,Kentucky,"Feb 17 - Mar 1, 2021",34.0,29.4 - 38.8
Symptoms of Depressive Disorder,By State,Louisiana,"Feb 17 - Mar 1, 2021",31.9,26.2 - 38.0
Symptoms of Depressive Disorder,By State,Maine,"Feb 17 - Mar 1, 2021",25.9,20.4 - 32.0
Symptoms of Depressive Disorder,By State,Maryland,"Feb 17 - Mar 1, 2021",25.0,21.3 - 28.9
Symptoms of Depressive Disorder,By State,Massachusetts,"Feb 17 - Mar 1, 2021",29.3,26.0 - 32.8
Symptoms of Depressive Disorder,By State,Michigan,"Feb 17 - Mar 1, 2021",26.9,22.6 - 31.6
Symptoms of Depressive Disorder,By State,Minnesota,"Feb 17 - Mar 1, 2021",18.3,15.5 - 21.4
Symptoms of Depressive Disorder,By State,Mississippi,"Feb 17 - Mar 1, 2021",32.9,25.3 - 41.1
Symptoms of Depressive Disorder,By State,Missouri,"Feb 17 - Mar 1, 2021",27.2,22.8 - 32.0
Symptoms of Depressive Disorder,By State,Montana,"Feb 17 - Mar 1, 2021",23.5,17.9 - 29.9
Symptoms of Depressive Disorder,By State,Nebraska,"Feb 17 - Mar 1, 2021",18.8,15.6 - 22.3
Symptoms of Depressive Disorder,By State,Nevada,"Feb 17 - Mar 1, 2021",36.1,31.3 - 41.1
Symptoms of Depressive Disorder,By State,New Hampshire,"Feb 17 - Mar 1, 2021",23.5,18.5 - 29.0
Symptoms of Depressive Disorder,By State,New Jersey,"Feb 17 - Mar 1, 2021",26.5,23.0 - 30.2
Symptoms of Depressive Disorder,By State,New Mexico,"Feb 17 - Mar 1, 2021",32.0,27.6 - 36.6
Symptoms of Depressive Disorder,By State,New York,"Feb 17 - Mar 1, 2021",28.2,23.4 - 33.5
Symptoms of Depressive Disorder,By State,North Carolina,"Feb 17 - Mar 1, 2021",30.3,24.7 - 36.3
Symptoms of Depressive Disorder,By State,North Dakota,"Feb 17 - Mar 1, 2021",20.3,15.3 - 26.1
Symptoms of Depressive Disorder,By State,Ohio,"Feb 17 - Mar 1, 2021",29.1,24.8 - 33.6
Symptoms of Depressive Disorder,By State,Oklahoma,"Feb 17 - Mar 1, 2021",29.5,25.1 - 34.1
Symptoms of Depressive Disorder,By State,Oregon,"Feb 17 - Mar 1, 2021",29.7,26.4 - 33.2
Symptoms of Depressive Disorder,By State,Pennsylvania,"Feb 17 - Mar 1, 2021",27.4,23.0 - 32.2
Symptoms of Depressive Disorder,By State,Rhode Island,"Feb 17 - Mar 1, 2021",26.5,22.2 - 31.2
Symptoms of Depressive Disorder,By State,South Carolina,"Feb 17 - Mar 1, 2021",29.6,24.8 - 34.8
Symptoms of Depressive Disorder,By State,South Dakota,"Feb 17 - Mar 1, 2021",20.2,15.2 - 25.9
Symptoms of Depressive Disorder,By State,Tennessee,"Feb 17 - Mar 1, 2021",31.2,26.8 - 35.8
Symptoms of Depressive Disorder,By State,Texas,"Feb 17 - Mar 1, 2021",27.6,24.6 - 30.6
Symptoms of Depressive Disorder,By State,Utah,"Feb 17 - Mar 1, 2021",25.4,22.7 - 28.2
Symptoms of Depressive Disorder,By State,Vermont,"Feb 17 - Mar 1, 2021",25.7,20.4 - 31.6
Symptoms of Depressive Disorder,By State,Virginia,"Feb 17 - Mar 1, 2021",25.3,21.2 - 29.8
Symptoms of Depressive Disorder,By State,Washington,"Feb 17 - Mar 1, 2021",27.8,25.0 - 30.7
Symptoms of Depressive Disorder,By State,West Virginia,"Feb 17 - Mar 1, 2021",29.0,23.7 - 34.8
Symptoms of Depressive Disorder,By State,Wisconsin,"Feb 17 - Mar 1, 2021",20.7,16.8 - 25.0
Symptoms of Depressive Disorder,By State,Wyoming,"Feb 17 - Mar 1, 2021",28.3,22.4 - 34.8
Symptoms of Anxiety Disorder,National Estimate,United States,"Feb 17 - Mar 1, 2021",33.4,32.6 - 34.1
Symptoms of Anxiety Disorder,By State,Alabama,"Feb 17 - Mar 1, 2021",30.0,25.2 - 35.2
Symptoms of Anxiety Disorder,By State,Alaska,"Feb 17 - Mar 1, 2021",31.9,27.9 - 36.2
Symptoms of Anxiety Disorder,By State,Arizona,"Feb 17 - Mar 1, 2021",31.6,28.3 - 35.2
